シーズン,試合タイプ,チーム,背番号,選手名,勝利,敗北,セーブ,ホールド,ホールドポイント,登板数,投球回,勝率,防御率,WHIP,失点率,試合あたり失点,被安打率,被本塁打率,奪三振率,与四球率,奪三振/四球比,対戦打者数,被安打,失点,自責点,被本塁打,奪三振,与四球,敬遠,死球,暴投,ボーク,完投,完封,無四球試合,先発数,救援完了,選手ID
2024,Climax Series - Final Stage,横浜DeNA,92,"Horioka, Hayato",0,0,0,,,2,2.0,0.0,0.0,1.0,0.0,0.0,4.5,0.0,4.5,4.5,1.0,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,71875134
2024,Climax Series - First Stage,横浜DeNA,92,"Horioka, Hayato",0,0,0,,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,71875134
2024,Japan Series,横浜DeNA,92,"Horioka, Hayato",0,0,0,,,1,1.0,0.0,18.0,4.0,27.0,3.0,36.0,0.0,9.0,0.0,,7,4,3,2,0,1,0,0,0,0,0,0,0,0,0,1,71875134
2024,Regular Season,横浜DeNA,92,"Horioka, Hayato",0,0,0,1.0,1.0,6,6.0,0.0,0.0,1.0,0.0,0.0,7.5,0.0,9.0,1.5,6.0,24,5,0,0,0,6,1,1,0,0,0,0,0,0,0,3,71875134
2024,Regular Season,オリックス,13,"Miyagi, Hiroya",7,9,0,0.0,0.0,20,141.2,0.438,1.91,0.967,1.969,1.55,7.306,0.445,8.831,1.398,6.318,560,115,31,30,7,139,22,0,3,2,0,3,0,2,20,0,71875151
2024,Regular Season,楽天イーグルス,47,"Fujii, Masaru",11,5,0,0.0,0.0,22,126.0,0.688,2.93,1.325,3.214,2.045,9.857,0.571,5.286,2.071,2.552,529,138,45,41,8,74,29,0,7,3,0,0,0,0,22,0,71875153
2024,Japan Series,ソフトバンク,51,"Maeda, Jun",0,0,0,,,2,3.0,0.0,9.0,1.0,9.0,1.5,9.0,3.0,12.0,0.0,,13,3,3,3,1,4,0,0,1,0,0,0,0,0,0,0,71875157
2024,Regular Season,ソフトバンク,51,"Maeda, Jun",1,0,0,0.0,0.0,1,6.0,1.0,0.0,0.5,0.0,0.0,4.5,0.0,7.5,0.0,,20,3,0,0,0,5,0,0,0,0,0,0,0,0,1,0,71875157
2024,Climax Series - Final Stage,横浜DeNA,41,"Sasaki, Chihaya",1,0,0,,,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,71975134
2024,Climax Series - First Stage,横浜DeNA,41,"Sasaki, Chihaya",0,0,0,,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71975134
2024,Japan Series,横浜DeNA,41,"Sasaki, Chihaya",0,0,0,,,2,1.2,0.0,0.0,0.6,0.0,0.0,5.4,0.0,0.0,0.0,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71975134
2024,Regular Season,横浜DeNA,41,"Sasaki, Chihaya",0,1,1,6.0,6.0,28,37.0,0.0,1.95,1.27,2.189,0.321,7.297,0.73,6.811,4.135,1.647,158,30,9,8,3,28,17,2,2,0,0,0,0,0,0,10,71975134
2024,Regular Season,中日ドラゴンズ,69,"Matsukihira, Yuta",2,4,0,0.0,0.0,8,48.2,0.333,3.7,1.274,3.699,2.5,8.507,0.925,7.397,2.959,2.5,206,46,20,20,5,40,16,1,4,1,1,0,0,0,8,0,73175153
2024,Regular Season,広島カープ,45,"Matsumoto, Ryuya",0,1,0,0.0,0.0,12,12.2,0.0,2.84,1.105,2.842,0.333,6.395,0.711,7.105,3.553,2.0,50,9,4,4,1,10,5,2,0,0,0,0,0,0,0,5,73175155
2024,Regular Season,楽天イーグルス,61,"Matsuda, Takuma",0,0,0,0.0,0.0,7,15.0,0.0,3.6,1.533,3.6,0.857,8.4,1.2,4.8,5.4,0.889,64,14,6,6,2,8,9,0,0,0,0,0,0,0,1,2,73175159
2024,Regular Season,広島カープ,13,"Moriura, Daisuke",2,0,0,17.0,19.0,53,46.2,1.0,2.51,1.436,2.507,0.245,7.714,0.193,8.293,5.207,1.593,203,40,13,13,1,43,27,6,1,0,0,0,0,0,0,8,73375153
2024,Regular Season,日ハム,12,"Yazawa, Kota",1,2,0,3.0,4.0,17,13.1,0.333,4.05,1.8,4.725,0.412,7.425,0.0,8.1,8.775,0.923,62,11,7,6,0,12,13,1,0,1,0,0,0,0,0,2,73375157
2024,Regular Season,ソフトバンク,34,"Murata, Kenichi",0,0,0,0.0,0.0,1,1.0,0.0,18.0,2.0,18.0,2.0,18.0,9.0,0.0,0.0,,5,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,73375159
2024,Regular Season,楽天イーグルス,43,"Sung, Chia-Hao",1,2,0,17.0,18.0,41,39.2,0.333,3.18,1.21,3.403,0.366,9.303,0.681,4.992,1.588,3.143,164,41,15,14,3,22,7,3,2,1,0,0,0,0,0,6,73575132
2024,Regular Season,西武ライオンズ,54,"Abreu, Albert",2,5,28,11.0,13.0,52,49.0,0.286,2.39,1.184,3.122,0.327,6.98,0.184,6.061,3.673,1.65,202,38,17,13,1,33,20,3,3,0,0,0,0,0,0,39,73575159
2024,Regular Season,オリックス,54,"Castillo, Luis",3,5,0,0.0,0.0,15,94.1,0.375,2.96,0.986,3.53,2.467,7.155,0.477,7.06,1.717,4.111,378,75,37,31,5,74,18,0,2,1,0,0,0,0,15,0,73775157
2024,Regular Season,千葉ロッテ,69,"Cordero, Jimmy",0,1,0,2.0,2.0,5,5.0,0.0,7.2,2.0,7.2,0.8,14.4,1.8,1.8,3.6,0.5,23,8,4,4,1,1,2,0,0,1,0,0,0,0,0,0,73775159
2024,Climax Series - Final Stage,読売巨人,33,"Keller, Kyle",1,0,0,,,4,3.2,1.0,0.0,0.818,0.0,0.0,2.455,0.0,9.818,4.909,2.0,13,1,0,0,0,4,2,0,0,0,0,0,0,0,0,1,73975155
2024,Regular Season,読売巨人,33,"Keller, Kyle",2,2,1,20.0,22.0,52,47.0,0.5,1.53,0.915,1.915,0.192,4.596,0.957,10.34,3.638,2.842,183,24,10,8,5,54,19,1,0,0,0,0,0,0,0,13,73975155
2024,Regular Season,広島カープ,68,"Hearn, Taylor",0,1,2,17.0,17.0,35,35.0,0.0,1.29,0.714,1.286,0.143,4.629,0.257,6.686,1.8,3.714,129,18,5,5,1,26,7,0,0,0,0,0,0,0,0,10,73975159
2024,Regular Season,オリックス,35,"Higa, Motoki",0,0,0,0.0,0.0,5,3.2,0.0,0.0,1.091,0.0,0.0,2.455,0.0,7.364,7.364,1.0,14,1,0,0,0,3,3,1,0,0,0,0,0,0,0,3,81085131
2024,Regular Season,阪神タイガース,98,"Satoh, Ren",0,0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81085153
2024,Climax Series - Final Stage,読売巨人,15,"Ota, Taisei",0,0,2,,,3,3.0,0.0,0.0,1.333,0.0,0.0,6.0,0.0,21.0,6.0,3.5,15,2,0,0,0,7,2,0,2,0,0,0,0,0,0,3,81085155
2024,Regular Season,読売巨人,15,"Ota, Taisei",1,2,29,5.0,6.0,43,41.0,0.333,0.88,0.878,0.878,0.093,6.146,0.0,11.854,1.756,6.75,161,28,4,4,0,54,8,2,0,1,0,0,0,0,0,36,81085155
2024,Regular Season,中日ドラゴンズ,18,"Umetsu, Kodai",2,8,0,0.0,0.0,14,77.1,0.2,4.07,1.384,4.073,2.5,8.845,0.349,8.379,3.608,2.323,327,76,35,35,3,72,31,0,2,3,0,0,0,0,14,0,81185138
2024,Regular Season,オリックス,16,"Hirano, Yoshihisa",1,1,7,1.0,2.0,12,10.2,0.5,4.22,2.25,8.438,0.833,16.031,0.844,9.281,4.219,2.2,58,19,10,5,1,11,5,0,0,0,0,0,0,0,0,8,81285112
2024,Regular Season,読売巨人,41,"Nakagawa, Kota",0,2,0,7.0,7.0,15,12.1,0.0,8.76,1.784,8.757,0.8,13.865,2.189,5.108,2.189,2.333,60,19,12,12,3,7,3,0,0,0,0,0,0,0,0,1,81285132
2024,Regular Season,中日ドラゴンズ,7,"Neo, Akira",0,1,0,0.0,0.0,3,7.2,0.0,9.39,2.217,10.565,3.0,11.739,2.348,8.217,8.217,1.0,39,10,9,8,2,7,7,0,0,1,0,0,0,0,1,2,81285138
2024,Japan Series,ソフトバンク,11,"Tsumori, Yuki",0,0,0,,,2,2.2,0.0,10.13,1.125,10.125,1.5,3.375,0.0,10.125,6.75,1.5,12,1,3,3,0,3,2,0,1,0,0,0,0,0,0,1,81285151
2024,Regular Season,ソフトバンク,11,"Tsumori, Yuki",5,2,0,17.0,22.0,48,42.1,0.714,2.13,1.205,2.126,0.208,6.591,0.213,8.079,4.252,1.9,180,31,10,10,1,38,20,2,6,1,0,0,0,0,0,9,81285151
2024,Regular Season,横浜DeNA,15,"Tokuyama, Souma",1,1,0,8.0,9.0,29,29.1,0.5,2.45,1.432,3.068,0.345,8.284,0.307,3.682,4.602,0.8,125,27,10,8,1,12,15,0,0,2,0,0,0,0,0,6,81285155
2024,Regular Season,千葉ロッテ,31,"Ohtani, Hikaru",0,0,0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,27.0,0.0,,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,81385159
2024,Climax Series - First Stage,横浜DeNA,27,"Kamichatani, Taiga",0,0,0,,,1,1.0,0.0,9.0,2.0,9.0,1.0,18.0,9.0,9.0,0.0,,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,81585138
2024,Regular Season,横浜DeNA,27,"Kamichatani, Taiga",2,2,0,1.0,3.0,18,22.2,0.5,4.37,1.897,5.559,0.778,12.706,1.191,6.353,4.368,1.455,110,32,14,11,3,16,11,2,1,0,0,0,0,0,0,3,81585138
2024,Regular Season,西武ライオンズ,17,"Matsumoto, Wataru",1,9,0,6.0,6.0,34,66.1,0.1,3.93,1.251,4.342,0.941,7.327,1.492,5.563,3.935,1.414,284,54,32,29,11,41,29,1,2,1,0,0,0,0,8,12,81685138
2024,Climax Series - Final Stage,日ハム,94,"Fukushima, Ren",0,0,0,,,1,2.1,0.0,3.86,1.286,3.857,1.0,3.857,3.857,7.714,7.714,1.0,10,1,1,1,1,2,2,0,0,0,0,0,0,0,0,1,81685155
2024,Regular Season,日ハム,94,"Fukushima, Ren",2,3,0,0.0,0.0,12,61.0,0.4,3.54,1.115,4.869,2.75,7.525,0.885,5.164,2.508,2.059,249,51,33,24,6,35,17,0,3,1,0,0,0,0,12,0,81685155
2024,Regular Season,ヤクルトスワローズ,58,"Sakaguchi, Kousuke",0,1,0,0.0,0.0,2,8.1,0.0,10.8,2.28,10.8,5.0,11.88,0.0,6.48,8.64,0.75,43,11,10,10,0,6,8,0,0,2,0,0,0,0,2,0,81785136
2024,Climax Series - First Stage,日ハム,28,"Kawano, Ryusei",1,0,0,,,3,1.2,1.0,0.0,1.2,0.0,0.0,10.8,0.0,10.8,0.0,,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,81785151
2024,Regular Season,日ハム,28,"Kawano, Ryusei",1,4,0,33.0,34.0,52,42.1,0.2,2.13,1.039,2.126,0.192,7.016,1.063,7.016,2.339,3.0,168,33,10,10,5,33,11,4,1,4,0,0,0,0,0,7,81785151
2024,Climax Series - Final Stage,読売巨人,62,"Yokogawa, Kai",0,0,0,,,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,9.0,2.0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,81885138
2024,Regular Season,読売巨人,62,"Yokogawa, Kai",3,1,0,0.0,2.0,12,28.2,0.75,0.94,1.151,1.256,0.333,7.221,0.0,2.826,3.14,0.9,111,23,4,3,0,9,10,1,0,0,0,0,0,0,3,5,81885138
2024,Climax Series - First Stage,千葉ロッテ,11,"Sawamura, Hirokazu",0,1,0,,,1,0.2,0.0,13.5,4.5,13.5,1.0,27.0,0.0,27.0,13.5,2.0,5,2,1,1,0,2,1,0,0,0,0,0,0,0,0,1,81985133
2024,Regular Season,千葉ロッテ,11,"Sawamura, Hirokazu",1,2,1,15.0,16.0,39,35.0,0.333,3.34,1.229,3.343,0.333,6.171,0.771,6.686,4.886,1.368,146,24,13,13,3,26,19,1,2,3,0,0,0,0,0,8,81985133
2024,Regular Season,ヤクルトスワローズ,41,"Shibata, Daichi",0,0,0,0.0,0.0,1,2.0,0.0,4.5,1.5,4.5,1.0,4.5,0.0,9.0,9.0,1.0,8,1,1,1,0,2,2,0,0,0,0,0,0,0,0,1,81985155
2024,Regular Season,オリックス,17,"Sotani, Ryuhei",7,11,0,0.0,0.0,20,119.0,0.389,2.34,1.168,2.798,1.85,8.471,0.303,8.849,2.042,4.333,490,112,37,31,4,117,27,0,1,1,0,0,0,0,20,0,81985157
