シーズン,試合タイプ,チーム,背番号,選手名,勝利,敗北,セーブ,ホールド,ホールドポイント,登板数,投球回,勝率,防御率,WHIP,失点率,試合あたり失点,被安打率,被本塁打率,奪三振率,与四球率,奪三振/四球比,対戦打者数,被安打,失点,自責点,被本塁打,奪三振,与四球,敬遠,死球,暴投,ボーク,完投,完封,無四球試合,先発数,救援完了,選手ID
2024,Regular Season,広島カープ,34,"Takahashi, Kouya",0,0,1,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1005134
2024,Regular Season,読売巨人,28,"Takahashi, Rei",2,2,0,0.0,0.0,11,46.2,0.5,3.66,1.35,3.857,1.818,8.1,0.579,4.243,4.05,1.048,199,42,20,19,3,22,21,1,1,1,0,1,0,0,9,1,1005136
2024,Regular Season,ソフトバンク,16,"Higashihama, Nao",3,2,0,0.0,0.0,11,56.0,0.6,3.38,1.143,3.536,2.0,8.518,1.125,6.268,1.768,3.545,232,53,22,21,7,39,11,1,1,0,0,0,0,0,11,0,1005137
2024,Regular Season,千葉ロッテ,35,"Tanaka, Haruya",1,1,0,0.0,0.0,4,20.0,0.5,1.8,1.0,4.05,2.25,6.3,0.9,7.65,2.7,2.833,79,14,9,4,2,17,6,0,0,0,0,0,0,0,4,0,1005157
2024,Climax Series - First Stage,日ハム,52,"Ikeda, Takahide",0,0,0,,,2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1105134
2024,Regular Season,日ハム,52,"Ikeda, Takahide",2,1,0,15.0,17.0,29,23.2,0.667,3.8,0.972,3.803,0.345,5.324,1.521,8.366,3.423,2.444,93,14,10,10,4,22,9,0,2,2,0,0,0,0,0,6,1105134
2024,Regular Season,読売巨人,63,"Izumi, Keisuke",2,0,1,5.0,7.0,35,37.1,1.0,1.93,1.045,2.411,0.286,6.75,0.0,7.232,2.652,2.727,149,28,10,8,0,30,11,2,4,1,0,0,0,0,0,18,1105138
2024,Regular Season,オリックス,20,"Abe, Shota",0,1,0,4.0,4.0,17,14.2,0.0,1.84,1.295,1.841,0.176,7.364,0.0,7.977,4.295,1.857,63,12,3,3,0,13,7,0,0,0,0,0,0,0,0,4,1105153
2024,Regular Season,阪神タイガース,63,"Ishiguro, Yuya",0,0,0,0.0,0.0,3,3.1,0.0,5.4,2.1,5.4,0.667,16.2,0.0,8.1,2.7,3.0,16,6,2,2,0,3,1,0,0,0,0,0,0,0,0,1,1105159
2024,Regular Season,千葉ロッテ,29,"Nishino, Yuji",9,8,0,0.0,0.0,20,122.1,0.529,3.24,1.234,3.384,2.3,8.828,0.589,5.665,2.281,2.484,510,120,46,44,8,77,31,1,4,1,0,1,0,0,20,0,1205118
2024,Regular Season,西武ライオンズ,20,"Tamura, Ichiro",1,0,0,1.0,2.0,28,29.2,1.0,1.82,1.18,3.034,0.357,7.281,0.303,7.281,3.337,2.182,122,24,10,6,1,24,11,0,0,0,0,0,0,0,0,7,1205134
2024,Regular Season,千葉ロッテ,48,"Nakamura, Toshiya",1,0,0,0.0,1.0,17,34.0,1.0,3.71,1.147,3.706,0.824,7.941,0.265,4.5,2.382,1.889,139,30,14,14,1,17,9,0,1,0,1,0,0,0,0,8,1205138
2024,Regular Season,楽天イーグルス,29,"Takada, Koichi",0,1,0,0.0,0.0,5,10.1,0.0,6.97,1.548,6.968,1.6,11.323,1.742,3.484,2.613,1.333,45,13,8,8,2,4,3,0,0,0,0,0,0,0,1,3,1205153
2024,Regular Season,日ハム,16,"Tatsu, Kota",1,0,0,0.0,0.0,1,5.0,1.0,0.0,0.6,0.0,0.0,5.4,0.0,7.2,0.0,,18,3,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1205155
2024,Climax Series - Final Stage,横浜DeNA,16,"Ohnuki, Shinichi",1,0,0,,,1,6.2,1.0,1.35,0.9,1.35,1.0,6.75,0.0,9.45,1.35,7.0,26,5,1,1,0,7,1,0,0,0,0,0,0,0,1,0,1305138
2024,Japan Series,横浜DeNA,16,"Ohnuki, Shinichi",0,1,0,,,2,6.1,0.0,8.53,2.211,9.947,3.5,17.053,2.842,9.947,2.842,3.5,31,12,7,6,2,7,2,0,0,0,0,0,0,0,2,0,1305138
2024,Regular Season,横浜DeNA,16,"Ohnuki, Shinichi",6,7,0,0.0,0.0,15,88.1,0.462,2.85,1.155,3.566,2.333,7.947,0.611,5.909,2.445,2.417,370,78,35,28,6,58,24,0,4,0,1,0,0,0,15,0,1305138
2024,Japan Series,ソフトバンク,26,"Ohtsu, Ryosuke",0,1,0,,,1,0.1,0.0,54.0,12.0,54.0,2.0,54.0,27.0,0.0,54.0,0.0,5,2,2,2,1,0,2,0,0,0,0,0,0,0,0,0,1305157
2024,Regular Season,ソフトバンク,26,"Ohtsu, Ryosuke",7,7,0,0.0,0.0,19,119.1,0.5,2.87,1.031,2.866,2.0,7.617,0.83,7.316,1.659,4.409,470,101,38,38,11,97,22,1,1,1,1,0,0,0,19,0,1305157
2024,Regular Season,横浜DeNA,38,"Mori, Yuito",1,3,0,1.0,2.0,14,32.1,0.25,7.52,1.794,9.186,2.357,13.918,1.113,6.959,2.227,3.125,157,50,33,27,4,25,8,2,3,0,0,0,0,0,4,3,1405139
2024,Regular Season,日ハム,63,"Kitaura, Ryuji",2,1,0,4.0,6.0,12,11.1,0.667,3.18,1.588,6.353,0.667,11.912,1.588,4.765,2.382,2.0,52,15,8,4,2,6,3,1,0,0,0,0,0,0,0,2,1505136
2024,Japan Series,ソフトバンク,47,"Ohzeki, Tomohisa",0,1,0,,,1,2.2,0.0,3.38,2.625,3.375,1.0,13.5,0.0,6.75,10.125,0.667,16,4,1,1,0,2,3,0,1,0,0,0,0,0,1,0,1505151
2024,Regular Season,ソフトバンク,47,"Ohzeki, Tomohisa",8,4,0,0.0,0.0,20,122.1,0.667,2.5,0.924,2.501,1.7,6.18,0.736,5.665,2.134,2.655,481,84,34,34,10,77,29,0,10,0,0,0,0,0,20,0,1505151
2024,Regular Season,千葉ロッテ,15,"Mima, Manabu",0,2,0,0.0,0.0,3,13.1,0.0,7.43,1.95,8.1,4.0,11.475,1.35,5.4,6.075,0.889,69,17,12,11,2,8,9,1,0,0,0,0,0,0,3,0,1605133
2024,Regular Season,楽天イーグルス,54,"Hinata, Naoki",0,0,0,0.0,0.0,1,1.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,9.0,9.0,1.0,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1605159
2024,Regular Season,千葉ロッテ,92,"Kuniyoshi, Yuki",3,1,1,10.0,13.0,41,41.2,0.75,1.51,1.032,1.512,0.171,6.696,0.432,4.536,2.592,1.75,165,31,7,7,2,21,12,2,3,1,0,0,0,0,0,12,1705131
2024,Regular Season,ヤクルトスワローズ,45,"Kozawa, Reiji",6,6,11,2.0,8.0,40,77.2,0.5,2.55,1.12,2.549,0.55,7.416,0.695,7.648,2.665,2.87,309,64,22,22,6,66,23,2,1,4,0,0,0,0,8,21,1705132
2024,Climax Series - First Stage,阪神タイガース,47,"Kirishiki, Takuma",0,0,0,,,1,1.1,0.0,13.5,1.5,13.5,2.0,13.5,0.0,6.75,0.0,,6,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1705155
2024,Regular Season,阪神タイガース,47,"Kirishiki, Takuma",3,1,0,40.0,43.0,70,65.1,0.75,1.79,1.01,1.929,0.2,6.612,0.0,8.265,2.48,3.333,263,48,14,13,0,60,18,5,4,1,0,0,0,0,0,7,1705155
2024,Regular Season,読売巨人,93,"Matsui, Hayate",0,0,0,0.0,0.0,2,1.1,0.0,13.5,3.75,13.5,1.0,13.5,6.75,6.75,20.25,0.333,9,2,2,2,1,1,3,0,0,0,0,0,0,0,0,1,1805157
2024,Regular Season,千葉ロッテ,66,"Sawada, Keisuke",2,1,0,8.0,10.0,21,20.0,0.667,3.6,1.5,4.05,0.429,9.9,0.0,3.6,3.6,1.0,89,22,9,8,0,8,8,1,1,0,0,0,0,0,0,6,1905134
2024,Regular Season,中日ドラゴンズ,50,"Shimizu, Tatsuya",3,1,1,36.0,39.0,60,58.0,0.75,1.4,1.017,1.862,0.2,6.362,0.155,8.069,2.793,2.889,229,41,12,9,1,52,18,2,1,5,0,0,0,0,0,8,1905136
2024,Regular Season,楽天イーグルス,56,"Suzuki, Sora",2,0,1,24.0,26.0,49,48.2,1.0,1.66,0.925,1.664,0.184,4.438,0.0,8.877,3.884,2.286,186,24,9,9,0,48,21,0,1,3,1,0,0,0,0,7,1905138
2024,Regular Season,横浜DeNA,59,"Taira, Kentaro",2,0,0,0.0,0.0,4,29.2,1.0,1.21,0.876,1.213,1.0,7.281,0.303,6.674,0.607,11.0,108,24,4,4,1,22,2,0,0,0,0,1,1,1,4,0,1905139
2024,Climax Series - First Stage,日ハム,67,"Yamamoto, Takumi",0,0,0,,,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3105136
2024,Regular Season,日ハム,67,"Yamamoto, Takumi",6,0,0,3.0,9.0,36,39.2,1.0,1.82,1.109,2.042,0.25,7.941,0.454,6.807,2.042,3.333,161,35,9,8,2,30,9,1,2,1,0,0,0,0,0,13,3105136
2024,Regular Season,ヤクルトスワローズ,28,"Matsumoto, Kengo",1,1,0,0.0,0.0,3,14.1,0.5,4.4,1.256,4.395,2.333,10.674,1.256,7.535,0.628,12.0,60,17,7,7,2,12,1,0,1,0,0,1,1,1,3,0,3105159
2024,Climax Series - Final Stage,読売巨人,19,"Yamasaki, Iori",1,0,0,,,1,6.1,1.0,0.0,0.947,0.0,0.0,8.526,0.0,7.105,0.0,,24,6,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3305153
2024,Regular Season,読売巨人,19,"Yamasaki, Iori",10,6,0,0.0,0.0,24,147.1,0.625,2.81,1.235,2.932,2.0,8.552,0.489,6.292,2.566,2.452,621,140,48,46,8,103,42,1,10,2,0,1,1,0,24,0,3305153
2024,Regular Season,横浜DeNA,62,"Wick, Rowan",5,1,1,11.0,16.0,43,45.0,0.833,2.6,1.244,3.2,0.372,7.2,0.6,10.0,4.0,2.5,193,36,16,13,3,50,20,1,1,3,0,0,0,0,0,8,3505159
2024,Climax Series - Final Stage,読売巨人,29,"Griffin, Foster",0,0,0,,,1,4.0,0.0,2.25,1.25,2.25,1.0,6.75,2.25,9.0,4.5,2.0,18,3,1,1,1,4,2,0,1,0,0,0,0,0,1,0,3705157
2024,Regular Season,読売巨人,29,"Griffin, Foster",6,4,0,0.0,0.0,20,116.2,0.6,3.01,1.046,3.086,2.0,7.637,0.694,9.72,1.774,5.478,468,99,40,39,9,126,23,0,4,0,1,0,0,0,20,0,3705157
2024,Regular Season,阪神タイガース,99,"Beasley, Jeremy",8,3,0,0.0,0.0,14,76.2,0.727,2.47,1.004,2.7,1.643,6.222,0.704,8.804,2.817,3.125,305,53,23,21,6,75,24,0,5,4,0,1,0,0,13,0,3905157
2024,Climax Series - Final Stage,横浜DeNA,20,"Sakamoto, Yuya",0,0,0,,,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11015151
2024,Climax Series - First Stage,横浜DeNA,20,"Sakamoto, Yuya",0,0,0,,,2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11015151
2024,Japan Series,横浜DeNA,20,"Sakamoto, Yuya",1,0,0,,,4,5.1,1.0,0.0,0.75,0.0,0.0,5.063,0.0,6.75,1.688,4.0,19,3,0,0,0,4,1,1,0,0,0,0,0,0,0,0,11015151
2024,Regular Season,横浜DeNA,20,"Sakamoto, Yuya",1,1,0,13.0,14.0,48,45.0,0.5,2.2,1.222,3.2,0.333,8.6,0.6,7.8,2.4,3.25,190,43,16,11,3,39,12,2,1,3,0,0,0,0,0,10,11015151
2024,Regular Season,楽天イーグルス,18,"Tanaka, Masahiro",0,1,0,0.0,0.0,1,5.0,0.0,7.2,1.6,7.2,4.0,10.8,1.8,1.8,3.6,0.5,23,6,4,4,1,1,2,0,0,0,0,0,0,0,1,0,11215114
2024,Regular Season,ヤクルトスワローズ,19,"Ishikawa, Masanori",1,4,0,0.0,0.0,9,37.1,0.2,4.1,1.366,4.821,2.222,10.848,0.964,2.411,1.446,1.667,161,45,20,17,4,10,6,0,1,1,0,1,1,1,8,0,11315115
2024,Regular Season,横浜DeNA,14,"Ishida, Kenta",2,3,0,0.0,0.0,6,32.0,0.4,3.38,1.063,3.656,2.167,7.875,1.406,6.75,1.688,4.0,126,28,13,12,5,24,6,0,0,0,0,0,0,0,6,0,11315130
2024,Regular Season,阪神タイガース,34,"Urushihara, Taisei",1,4,0,5.0,6.0,38,34.2,0.2,3.89,1.587,4.154,0.421,9.865,0.0,5.712,4.413,1.294,153,38,16,15,0,22,17,0,0,0,0,0,0,0,0,16,11315138
2024,Regular Season,西武ライオンズ,23,"Itogawa, Ryota",0,1,0,0.0,0.0,4,3.2,0.0,9.82,3.0,9.818,1.0,12.273,0.0,2.455,14.727,0.167,21,5,4,4,0,1,6,0,0,0,0,0,0,0,0,3,11315159
2024,Regular Season,広島カープ,28,"Tokoda, Hiroki",11,9,0,0.0,0.0,26,167.0,0.55,2.48,1.305,2.802,2.0,9.162,0.485,5.12,2.587,1.979,693,170,52,46,9,95,48,4,4,0,0,0,0,0,26,0,11415134
2024,Regular Season,楽天イーグルス,52,"Tsurusaki, Taisei",1,1,0,0.0,1.0,14,23.2,0.5,6.85,1.732,7.225,1.357,13.69,0.0,5.324,1.901,2.8,110,36,19,18,0,14,5,0,3,0,0,0,0,0,2,4,11415151
2024,Regular Season,中日ドラゴンズ,22,"Ohno, Yudai",2,6,0,0.0,0.0,9,44.1,0.25,4.87,1.398,5.481,3.0,10.15,1.015,5.481,2.436,2.25,192,50,27,24,5,27,12,0,2,1,0,0,0,0,9,0,11515133
2024,Regular Season,ヤクルトスワローズ,29,"Ogawa, Yasuhiro",2,5,0,0.0,0.0,12,62.0,0.286,4.65,1.339,5.081,2.917,10.887,0.871,5.806,1.161,5.0,264,75,35,32,6,40,8,2,0,0,0,0,0,0,11,1,11515137
2024,Climax Series - First Stage,千葉ロッテ,14,"Ojima, Kazuya",0,0,0,,,1,6.1,0.0,1.42,1.105,1.421,1.0,7.105,0.0,5.684,2.842,2.0,24,5,1,1,0,4,2,0,0,0,0,0,0,0,1,0,11515138
2024,Regular Season,千葉ロッテ,14,"Ojima, Kazuya",12,10,0,0.0,0.0,25,163.1,0.545,3.58,1.182,3.747,2.72,8.651,0.827,7.273,1.984,3.667,671,157,68,65,15,132,36,0,7,5,0,5,1,1,25,0,11515138
2024,Climax Series - First Stage,阪神タイガース,64,"Okadome, Hidetaka",0,0,0,,,2,2.0,0.0,9.0,1.0,9.0,1.0,9.0,0.0,0.0,0.0,,9,2,2,2,0,0,0,0,1,0,0,0,0,0,0,1,11515155
2024,Regular Season,阪神タイガース,64,"Okadome, Hidetaka",1,0,1,6.0,7.0,35,38.0,1.0,2.84,1.237,3.789,0.457,8.526,0.237,5.684,2.605,2.182,163,36,16,12,1,24,11,1,2,0,0,0,0,0,0,10,11515155
2024,Regular Season,ソフトバンク,53,"Ohyama, Ryo",1,1,0,1.0,2.0,18,27.2,0.5,3.25,1.193,3.253,0.556,6.181,0.651,7.482,4.554,1.643,114,19,10,10,2,23,14,0,2,1,0,0,0,0,2,3,11515159
2024,Regular Season,ヤクルトスワローズ,53,"Hasegawa, Hiroki",1,0,0,2.0,3.0,19,21.0,1.0,4.71,1.476,4.714,0.579,9.0,1.714,9.0,4.286,2.1,92,21,11,11,4,21,10,1,1,2,0,0,0,0,0,8,11615134
2024,Regular Season,日ハム,40,"Fukuda, Suguru",0,0,0,0.0,0.0,2,2.0,0.0,0.0,1.5,0.0,0.0,4.5,0.0,4.5,9.0,0.5,9,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,11615138
2024,Regular Season,ソフトバンク,20,"Nakamura, Ryota",0,0,0,0.0,0.0,1,1.0,0.0,18.0,3.0,18.0,2.0,27.0,18.0,9.0,0.0,,6,3,2,2,2,1,0,0,0,0,0,0,0,0,0,1,11615153
2024,Regular Season,横浜DeNA,48,"Kyoyama, Masaya",2,1,0,5.0,7.0,23,22.1,0.667,2.01,1.612,2.821,0.304,7.254,0.0,8.06,7.254,1.111,103,18,7,5,0,20,18,4,0,3,0,0,0,0,0,6,11715134
2024,Regular Season,阪神タイガース,92,"Kawahara, Riku",0,0,0,0.0,0.0,1,1.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,18.0,9.0,2.0,5,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,11715138
2024,Regular Season,ソフトバンク,21,"Wada, Tsuyoshi",2,2,0,3.0,3.0,8,26.1,0.5,3.76,1.177,4.101,1.5,9.228,0.684,6.152,1.367,4.5,108,27,12,11,2,18,4,0,2,0,0,0,0,0,5,0,11815117
2024,Regular Season,ヤクルトスワローズ,24,"Hoshi, Tomoya",1,0,1,2.0,3.0,36,37.1,1.0,3.62,1.473,3.616,0.417,8.92,0.964,7.955,4.339,1.833,166,37,15,15,4,33,18,2,2,1,0,0,0,0,0,8,11815134
2024,Regular Season,中日ドラゴンズ,59,"Saitoh, Kohki",4,3,0,19.0,23.0,56,47.1,0.571,2.09,1.331,2.092,0.196,8.556,0.19,8.366,3.423,2.444,200,45,11,11,1,44,18,4,1,2,0,0,0,0,0,9,11915130
2024,Regular Season,楽天イーグルス,40,"Sakurai, Shuto",0,0,0,0.0,0.0,8,10.2,0.0,8.44,1.781,8.438,1.25,9.281,0.0,7.594,6.75,1.125,48,11,10,10,0,9,8,1,0,1,0,0,0,0,0,1,11915136
2024,Regular Season,ヤクルトスワローズ,20,"Kizawa, Naofumi",3,3,5,16.0,19.0,55,53.0,0.5,3.06,1.321,3.226,0.345,8.491,0.679,7.811,3.396,2.3,225,50,19,18,4,46,20,5,0,5,0,0,0,0,0,18,11915153
2024,Regular Season,オリックス,56,"Kogita, Atsuya",1,1,0,8.0,9.0,13,13.0,0.5,1.38,0.692,1.385,0.154,6.231,0.0,7.615,0.0,,46,9,2,2,0,11,0,0,0,0,0,0,0,0,0,2,11915155
2024,Regular Season,楽天イーグルス,53,"Sakai, Haruto",0,0,0,0.0,0.0,1,1.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,18.0,0.0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11915159
2024,Regular Season,楽天イーグルス,20,"Turley, Nik",0,1,1,2.0,2.0,17,15.1,0.0,2.93,1.761,2.935,0.294,8.804,1.174,7.63,7.043,1.083,72,15,5,5,2,13,12,0,1,0,0,0,0,0,0,4,13015155
2024,Regular Season,オリックス,23,"Yoshida, Kosei",4,0,0,14.0,18.0,50,40.2,1.0,3.32,1.328,3.32,0.3,8.852,0.221,6.639,3.098,2.143,173,40,15,15,1,30,14,0,5,1,0,0,0,0,0,9,13115138
2024,Regular Season,楽天イーグルス,45,"Matsui, Tomotaka",1,1,0,0.0,0.0,7,22.2,0.5,6.75,1.941,7.147,2.571,11.912,0.397,3.971,5.559,0.714,109,30,18,17,1,10,14,0,0,1,0,0,0,0,3,0,13115155
2024,Regular Season,ソフトバンク,41,"Maeda, Yugo",0,0,0,0.0,0.0,1,3.0,0.0,18.0,3.0,18.0,6.0,24.0,3.0,0.0,3.0,0.0,19,8,6,6,1,0,1,0,1,0,0,0,0,0,1,0,13115159
2024,Regular Season,オリックス,59,"Perdomo, Luis",1,0,4,14.0,15.0,28,28.0,1.0,0.64,0.821,0.643,0.071,6.429,0.321,6.107,0.964,6.333,105,20,2,2,1,19,3,0,0,0,0,0,0,0,0,9,13215157
2024,Regular Season,千葉ロッテ,93,"Yoshida, Ryo",0,0,0,0.0,0.0,9,11.2,0.0,6.17,1.371,6.171,0.889,8.486,2.314,8.486,3.857,2.2,51,11,8,8,3,11,5,0,0,1,0,0,0,0,0,7,13315132
2024,Climax Series - First Stage,阪神タイガース,41,"Murakami, Shoki",0,0,0,,,1,1.0,0.0,27.0,3.0,27.0,3.0,27.0,9.0,0.0,0.0,,6,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,13315153
2024,Regular Season,阪神タイガース,41,"Murakami, Shoki",7,11,0,0.0,0.0,25,153.2,0.389,2.58,1.145,3.338,2.28,8.375,0.41,7.614,1.933,3.939,635,143,57,44,7,130,33,2,2,5,0,2,0,1,23,1,13315153
2024,Regular Season,楽天イーグルス,72,"Miyamori, Satoshi",0,0,0,0.0,0.0,9,9.0,0.0,1.0,0.778,1.0,0.111,5.0,0.0,5.0,2.0,2.5,34,5,1,1,0,5,2,0,0,0,0,0,0,0,0,6,13315155
2024,Climax Series - Final Stage,ソフトバンク,54,"Osuna, Roberto",0,0,2,,,3,3.0,0.0,0.0,0.667,0.0,0.0,6.0,0.0,12.0,0.0,,11,2,0,0,0,4,0,0,0,0,0,0,0,0,0,3,13415155
2024,Japan Series,ソフトバンク,54,"Osuna, Roberto",0,0,1,,,2,2.0,0.0,9.0,2.0,13.5,1.5,18.0,0.0,0.0,0.0,,11,4,3,2,0,0,0,0,0,0,0,0,0,0,0,2,13415155
2024,Regular Season,ソフトバンク,54,"Osuna, Roberto",0,3,24,5.0,5.0,39,38.1,0.0,3.76,1.2,3.757,0.41,8.452,0.704,5.4,2.348,2.3,157,36,16,16,3,23,10,0,2,1,0,0,0,0,0,29,13415155
2024,Climax Series - Final Stage,横浜DeNA,49,"Wendelken, J.B.",0,0,0,,,3,2.2,0.0,0.0,0.75,0.0,0.0,3.375,0.0,3.375,3.375,1.0,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,13715157
2024,Climax Series - First Stage,横浜DeNA,49,"Wendelken, J.B.",0,0,0,,,1,1.0,0.0,9.0,2.0,9.0,1.0,18.0,0.0,0.0,0.0,,5,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,13715157
2024,Japan Series,横浜DeNA,49,"Wendelken, J.B.",0,0,0,,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,13715157
2024,Regular Season,横浜DeNA,49,"Wendelken, J.B.",1,1,0,16.0,17.0,28,26.1,0.5,1.71,1.101,1.709,0.179,6.835,0.342,8.544,3.076,2.778,109,20,5,5,1,25,9,0,2,0,0,0,0,0,0,3,13715157
2024,Climax Series - Final Stage,横浜DeNA,69,"Kay, Anthony",1,0,0,,,2,9.1,1.0,0.96,1.179,1.929,1.0,2.893,0.0,8.679,7.714,1.125,40,3,2,1,0,9,8,1,0,0,0,0,0,0,2,0,13715159
2024,Japan Series,横浜DeNA,69,"Kay, Anthony",1,0,0,,,1,7.0,1.0,0.0,0.714,0.0,0.0,5.143,0.0,9.0,1.286,7.0,26,4,0,0,0,7,1,0,0,0,0,0,0,0,1,0,13715159
2024,Regular Season,横浜DeNA,69,"Kay, Anthony",6,9,0,0.0,0.0,24,136.2,0.4,3.42,1.339,4.017,2.542,8.561,0.395,7.837,3.49,2.245,590,130,61,52,6,119,53,5,7,4,1,1,0,0,24,0,13715159
2024,Regular Season,千葉ロッテ,41,"Dykstra, James",1,0,0,0.0,0.0,3,11.0,1.0,1.64,1.636,2.455,1.0,8.182,1.636,9.0,6.545,1.375,49,10,3,2,2,11,8,0,0,1,0,0,0,0,2,0,13915159
2024,Regular Season,中日ドラゴンズ,12,"Tajima, Shinji",0,0,0,1.0,1.0,2,0.1,0.0,108.0,15.0,108.0,2.0,108.0,0.0,27.0,27.0,1.0,6,4,4,4,0,1,1,0,0,0,0,0,0,0,0,0,21025135
2024,Regular Season,中日ドラゴンズ,24,"Fukutani, Koji",3,1,0,1.0,1.0,8,29.0,0.75,3.72,1.276,3.724,1.5,9.31,0.931,4.966,2.172,2.286,121,30,12,12,3,16,7,0,0,1,0,0,0,0,4,0,21025137
2024,Regular Season,西武ライオンズ,16,"Sumida, Chihiro",9,10,0,0.0,0.0,26,179.1,0.474,2.76,1.093,2.81,2.154,8.08,0.552,7.729,1.757,4.4,719,161,56,55,11,154,35,1,3,5,0,2,1,1,26,0,21025155
2024,Regular Season,ヤクルトスワローズ,12,"Ishiyama, Taichi",1,0,5,8.0,9.0,37,41.1,1.0,4.35,1.621,4.355,0.541,11.54,0.435,8.492,3.048,2.786,189,53,20,20,2,39,14,5,1,3,0,0,0,0,0,12,21125137
2024,Regular Season,横浜DeNA,54,"Ishida, Yutaro",4,3,0,0.0,0.0,12,59.0,0.571,3.97,1.492,4.119,2.25,11.593,0.61,5.949,1.831,3.25,260,76,27,26,4,39,12,1,0,1,0,1,1,1,12,0,21125159
2024,Regular Season,横浜DeNA,64,"Nakagawa, Koh",1,3,0,10.0,11.0,31,31.0,0.25,3.19,1.258,3.194,0.355,8.419,0.581,8.71,2.903,3.0,134,29,11,11,2,30,10,2,1,2,0,0,0,0,0,7,21225136
2024,Regular Season,中日ドラゴンズ,38,"Matsuba, Takahiro",5,6,0,0.0,0.0,17,93.1,0.455,3.09,1.168,3.182,1.941,8.196,0.771,4.821,2.314,2.083,381,85,33,32,8,50,24,0,2,2,0,2,0,0,17,0,21225137
2024,Regular Season,広島カープ,19,"Nomura, Yusuke",0,1,0,0.0,0.0,3,11.0,0.0,2.45,1.182,3.273,1.333,9.0,0.818,6.545,1.636,4.0,46,11,4,3,1,8,2,0,0,0,0,0,0,0,3,0,21425135
2024,Regular Season,中日ドラゴンズ,13,"Hashimoto, Yuki",3,1,0,5.0,8.0,47,52.0,0.75,1.73,1.308,3.288,0.404,7.962,0.0,9.346,3.808,2.455,225,46,19,10,0,54,22,0,2,0,0,0,0,0,0,9,21425151
2024,Climax Series - Final Stage,横浜DeNA,53,"Nakagawa, Hayate",0,0,0,,,3,3.1,0.0,0.0,0.6,0.0,0.0,5.4,0.0,8.1,0.0,,13,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21425153
2024,Japan Series,横浜DeNA,53,"Nakagawa, Hayate",0,0,0,,,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,21425153
2024,Regular Season,横浜DeNA,53,"Nakagawa, Hayate",3,0,1,5.0,6.0,29,57.0,1.0,4.42,1.368,4.737,1.034,10.263,0.474,5.684,2.053,2.769,250,65,30,28,3,36,13,0,6,0,0,0,0,0,6,7,21425153
2024,Regular Season,千葉ロッテ,19,"Karakawa, Yuki",3,2,0,0.0,0.0,8,38.0,0.6,2.37,0.816,2.368,1.25,6.632,1.184,7.342,0.711,10.333,147,28,10,10,5,31,3,0,2,0,0,0,0,0,6,0,21525116
2024,Regular Season,中日ドラゴンズ,41,"Katsuno, Akiyoshi",1,1,0,7.0,8.0,39,41.0,0.5,3.51,1.415,3.512,0.41,9.659,0.22,7.244,3.073,2.357,174,44,16,16,1,33,14,3,0,2,0,0,0,0,0,13,21525138
2024,Regular Season,阪神タイガース,54,"Kajiya, Ren",2,0,0,1.0,3.0,13,12.0,1.0,4.5,1.5,6.0,0.615,8.25,0.0,9.0,5.25,1.714,54,11,8,6,0,12,7,1,1,2,0,0,0,0,0,7,21525139
2024,Regular Season,広島カープ,36,"Horie, Atsuya",2,0,0,16.0,18.0,53,40.0,1.0,1.58,1.375,2.925,0.245,8.775,0.0,8.55,3.6,2.375,174,39,13,7,0,38,16,0,4,1,0,0,0,0,0,8,21625130
